year,genre,name,num
2018,M,ALAN,51
2017,M,ALAN,69
2016,M,ALAN,40
2015,M,ALAN,37
2014,M,ALAN,34
2013,M,ALAN,23
2012,M,ALAN,26
2011,M,ALAN,25
2010,M,ALAN,23
2009,M,ALAN,11
2008,M,ALAN,17
2007,M,ALAN,13
2006,M,ALAN,12
2005,M,ALAN,11
2004,M,ALAN,15
2003,M,ALAN,8
2002,M,ALAN,6
2001,M,ALAN,9
2000,M,ALAN,4
2022,M,ALARIC,3
2021,M,ALARIC,0
2020,M,ALARIC,0
2019,M,ALARIC,0
2018,M,ALARIC,0
2017,M,ALARIC,0
2016,M,ALARIC,0
2015,M,ALARIC,0
2014,M,ALARIC,1
2013,M,ALARIC,0
2012,M,ALARIC,0
2011,M,ALARIC,0
2010,M,ALARIC,0
2009,M,ALARIC,0
2008,M,ALARIC,0
2007,M,ALARIC,0
2006,M,ALARIC,0
2005,M,ALARIC,0
2004,M,ALARIC,0
2003,M,ALARIC,0
2002,M,ALARIC,0
2001,M,ALARIC,0
2000,M,ALARIC,0
2022,M,ALBERTO,65
2021,M,ALBERTO,63
2020,M,ALBERTO,97
2019,M,ALBERTO,88
2018,M,ALBERTO,109
2017,M,ALBERTO,104
2016,M,ALBERTO,128
2015,M,ALBERTO,170
2014,M,ALBERTO,148
2013,M,ALBERTO,139
2012,M,ALBERTO,160
2011,M,ALBERTO,207
2010,M,ALBERTO,189
2009,M,ALBERTO,221
2008,M,ALBERTO,275
2007,M,ALBERTO,279
2006,M,ALBERTO,313
2005,M,ALBERTO,326
2004,M,ALBERTO,360
2003,M,ALBERTO,412
2002,M,ALBERTO,402
2001,M,ALBERTO,475
2000,M,ALBERTO,488
2022,M,ALDO,3
2021,M,ALDO,1
2020,M,ALDO,1
2019,M,ALDO,5
2018,M,ALDO,3
2017,M,ALDO,2
2016,M,ALDO,1
2015,M,ALDO,2
2014,M,ALDO,1
2013,M,ALDO,1
2012,M,ALDO,1
2011,M,ALDO,2
2010,M,ALDO,0
2009,M,ALDO,1
2008,M,ALDO,0
2007,M,ALDO,1
2006,M,ALDO,4
2005,M,ALDO,4
2004,M,ALDO,1
2003,M,ALDO,1
2002,M,ALDO,0
2001,M,ALDO,1
2000,M,ALDO,0
2022,M,ALEIX,10
2021,M,ALEIX,4
2020,M,ALEIX,10
2019,M,ALEIX,7
2018,M,ALEIX,3
2017,M,ALEIX,7
2016,M,ALEIX,10
2015,M,ALEIX,5
2014,M,ALEIX,10
2013,M,ALEIX,5
2012,M,ALEIX,2
2011,M,ALEIX,2
2010,M,ALEIX,1
2009,M,ALEIX,2
2008,M,ALEIX,0
2007,M,ALEIX,0
2006,M,ALEIX,2
2005,M,ALEIX,0
2004,M,ALEIX,0
2003,M,ALEIX,0
2002,M,ALEIX,1
2001,M,ALEIX,0
2000,M,ALEIX,0
2022,M,ALEJANDRO,425
2021,M,ALEJANDRO,493
2020,M,ALEJANDRO,520
2019,M,ALEJANDRO,592
2018,M,ALEJANDRO,602
2017,M,ALEJANDRO,661
2016,M,ALEJANDRO,801
2015,M,ALEJANDRO,787
2014,M,ALEJANDRO,808
2013,M,ALEJANDRO,821
2012,M,ALEJANDRO,946
2011,M,ALEJANDRO,1.171
2010,M,ALEJANDRO,1.109
2009,M,ALEJANDRO,1.142
2008,M,ALEJANDRO,1.183
2007,M,ALEJANDRO,1.231
2006,M,ALEJANDRO,1.273
2005,M,ALEJANDRO,1.381
2004,M,ALEJANDRO,1.497
2003,M,ALEJANDRO,1.603
2002,M,ALEJANDRO,1.573
2001,M,ALEJANDRO,1.482
2000,M,ALEJANDRO,1.416
2022,M,ALEJANDRO DAVID,3
2021,M,ALEJANDRO DAVID,2
2020,M,ALEJANDRO DAVID,1
2019,M,ALEJANDRO DAVID,3
2018,M,ALEJANDRO DAVID,7
2017,M,ALEJANDRO DAVID,2
2016,M,ALEJANDRO DAVID,3
2015,M,ALEJANDRO DAVID,2
2014,M,ALEJANDRO DAVID,3
2013,M,ALEJANDRO DAVID,2
2012,M,ALEJANDRO DAVID,2
2011,M,ALEJANDRO DAVID,7
2010,M,ALEJANDRO DAVID,3
