Year,Name,Frecuency
2022,LOURDES,9
2022,MARIA JOSE,9
2022,MARIA TERESA,9
2022,MICHELLE,9
2022,OLAYA,9
2022,RENATA,9
2022,RIM,9
2022,SIA,9
2022,ALEGRIA,8
2022,ALLEGRA,8
2022,ANASTASIA,8
2022,ANNE,8
2022,ASIL,8
2022,AVA,8
2022,BRIANNA,8
2022,CARLA MARIA,8
2022,DANIA,8
2022,DEVA,8
2022,ELAIA,8
2022,GEORGINA,8
2022,INGRID,8
2022,JUANA,8
2022,KEYLA,8
2022,MARIA PILAR,8
2022,MARIAN,8
2022,MIA ISABELLA,8
2022,NIEVES,8
2022,RAZAN,8
2022,UMA,8
2022,AGATHA,7
2022,AMELIE,7
2022,ATHENEA,7
2022,CAMELIA,7
2022,CARMELA,7
2022,DAENERYS,7
2022,DANNA SOFIA,7
2022,DELIA,7
2022,DUNIA,7
2022,EDA,7
2022,EIRE,7
2022,ERIN,7
2022,ESRAA,7
2022,FIRDAWS,7
2022,GENESIS,7
2022,HIBA,7
2022,IDAIRA,7
2022,ISABELA,7
2022,KAWTAR,7
2022,LAILA,7
2022,LIVIA,7
2022,MAYRA,7
2022,NAYA,7
2022,OLIMPIA,7
2022,ONA,7
2022,RANIA,7
2022,SELENA,7
2022,SORAYA,7
2022,TAMARA,7
2022,TELMA,7
2022,URSULA,7
2022,VANESSA,7
2022,AFNAN,6
2022,AINA,6
2022,ALESSIA,6
2022,ALMAS,6
2022,AMBAR,6
2022,AMBER,6
2022,AMY,6
2022,ANYELINA,6
2022,ASIA,6
2022,BASMA,6
2022,CONSTANZA,6
2022,DAPHNE,6
2022,DOLORES,6
2022,DULCE MARIA,6
2022,ELVIRA,6
2022,EMMA ISABELLA,6
2022,ENOLA,6
2022,GABRIELLA,6
2022,IRATXE,6
2022,IVANA,6
2022,JAZMIN,6
2022,JULIETTE,6
2022,KHLOE,6
2022,LAYAL,6
2022,LIBERTAD,6
2022,LUCIA MARIA,6
2022,MAIALEN,6
2022,MAIRA,6
2022,MARCELA,6
2022,MELISA,6
2022,MIA VALENTINA,6
2022,MIREN,6
2022,NAGORE,6
2022,NAIMA,6
2022,ROSALIA,6
2022,RUBI,6
2022,SABELA,6
2022,SABRINA,6
2022,SAFAE,6
2022,SAMANTA,6
2022,SARAYMA,6
2022,SOFIA ELENA,6
2022,THAIS,6
2022,XIMENA,6
2022,YANAY,6
2022,YANIRA,6
2022,YARELI,6
2022,YASMINA,6
2022,YASSMIN,6
2022,ZOE VALENTINA,6
2022,AGUEDA,5
2022,AICHA,5
2022,ALLISON,5
2022,AMAL,5
2022,ANABEL,5
2022,ANGELINA,5
2022,ARANCHA,5
2022,ARWA,5
2022,ASSIL,5
2022,CIARA,5
2022,CORA,5
2022,DARA,5
2022,EIDER,5
2022,ELOISA,5
2022,EMMA LUCIA,5
2022,EMMA SOFIA,5
2022,EMMA SOPHIA,5
2022,ENARA,5
2022,ESTELA,5
2022,FERNANDA,5
2022,GRACIA,5
2022,IRUNE,5
2022,ISABELLA MARIA,5
2022,IVANNA,5
2022,JANNAT,5
2022,KENIA,5
2022,KIARA,5
2022,KIRA,5
2022,KYLIE,5
2022,LAYLA,5
2022,LEYLA,5
2022,LLARA,5
2022,MAFALDA,5
2022,MARIA DOLORES,5
2022,MARIA PAZ,5
2022,MARIA VALENTINA,5
2022,MARIETA,5
2022,MONTSERRAT,5
2022,NAROA,5
2022,OLYMPIA,5
2022,RAHMA,5
2022,ROSA,5
2022,SOFIA VALENTINA,5
2022,SOFIA VICTORIA,5
2022,XINYUE,5
2022,ZAINAB,5
2022,AINHOA VALENTINA,4
2022,AITANA SOFIA,4
2022,ALDARA,4
2022,ALINA,4
2022,ALISON,4
2022,ANA VICTORIA,4
2022,ANALIA,4
2022,ANGELICA,4
2022,ANGIE,4
2022,ANIA,4
2022,ARACELI,4
2022,ARIADNE,4
2022,ARWEN,4
2022,ASSIA,4
2022,ASYA,4
2022,AURAH,4
2022,AYLIN,4
2022,BEGOÑA,4
2022,CHLOE ANTONELLA,4
2022,CHLOE MARIA,4
2022,CHLOE SOFIA,4
2022,CLAUDIA MARIA,4
2022,CLEO,4
2022,CONCEPCION,4
2022,CORAIMA,4
2022,DAYRA,4
2022,DUNA,4
2022,EILEEN,4
2022,EKATERINA,4
2022,ELIANA,4
2022,ELOISE,4
2022,EMMA MARIA,4
2022,ERIS,4
2022,ESPERANZA,4
2022,ESTEFANIA,4
2022,ESTER,4
2022,FARAH,4
2022,FLORA,4
2022,GINEVRA,4
2022,GIOVANNA,4
2022,HANA,4
2022,HELEN,4
2022,IDARA,4
2022,IKHLAS,4
2022,INAYA,4
2022,INDIARA,4
2022,JINAN,4
2022,JOANA,4
2022,JUNE,4
2022,KAILANI,4
2022,KAIRA,4
2022,KAMILA,4
2022,KARLA,4
2022,LORENA,4
2022,LUCIA VALENTINA,4
2022,LUNA SOFIA,4
2022,LUZ MARIA,4
2022,MARIA ALEJANDRA,4
2022,MARIA CAMILA,4
2022,MARIA LUISA,4
2022,MARIA ROCIO,4
2022,MARIOLA,4
2022,MAYAR,4
2022,MIA ALEJANDRA,4
2022,NALA,4
2022,NAYELI,4
2022,NIRA,4
2022,NO EMPADRONAR,4
2022,NORAH,4
2022,NUR,4
2022,OIHANE,4
2022,OLAIA,4
2022,OLGA,4
2022,OLIVIA ELENA,4
2022,OLIVIA MARIA,4
2022,REGINA,4
2022,RINAD,4
2022,RODAINA,4
2022,ROMINA,4
2022,SABINA,4
2022,SAFAA,4
2022,SHUYAO,4
2022,SIDRA,4
2022,SILYA,4
2022,SOFIA ALEJANDRA,4
2022,SOFIA ANTONELLA,4
2022,TANIA,4
2022,TESSA,4
2022,UXIA,4
2022,VICTORIA MARIA,4
2022,VIDA,4
2022,VIRGINIA,4
2022,XANA,4
2022,XIYUE,4
2022,YANELI,4
2022,YAREN,4
