Year,District,Neighborhood,Gender,Number
2019,Ciudad Lineal,Costillares,male,80
2019,Hortaleza,Hortaleza,male,949
2019,Hortaleza,Palomas,male,32
2019,Hortaleza,Piovera,male,46
2019,Hortaleza,Canillas,male,140
2019,Hortaleza,Pinar del Rey,male,199
2019,Hortaleza,Apóstol Santiago,male,40
2019,Hortaleza,Valdefuentes,male,492
2019,Villaverde,Villaverde,male,708
2019,Villaverde,Villaverde Alto,male,206
2019,Villaverde,San Cristóbal,male,101
2019,Villaverde,Butarque,male,115
2019,Villaverde,Los Rosales,male,163
2019,Villaverde,Ángeles,male,123
2019,Villa de Vallecas,Villa de Vallecas,male,628
2019,Villa de Vallecas,Casco Histórico de Vallecas,male,159
2019,Villa de Vallecas,Santa Eugenia,male,77
2019,Villa de Vallecas,Ensanche de Vallecas,male,392
2019,Vicálvaro,Vicálvaro,male,284
2019,Vicálvaro,Casco Histórico de Vicálvaro,male,140
2019,Vicálvaro,Valdebernardo,male,52
2019,Vicálvaro,Valderrivas,male,74
2019,Vicálvaro,El Cañaveral,male,18
2019,San Blas-Canillejas,San Blas-Canillejas,male,602
2019,San Blas-Canillejas,Simancas,male,130
2019,San Blas-Canillejas,Hellín,male,26
2019,San Blas-Canillejas,Amposta,male,32
2019,San Blas-Canillejas,Arcos,male,93
2019,San Blas-Canillejas,Rosas,male,83
2019,San Blas-Canillejas,Rejas,male,101
2019,San Blas-Canillejas,Canillejas,male,111
2019,San Blas-Canillejas,El Salvador,male,26
2019,Barajas,Barajas,male,223
2019,Barajas,Alameda de Osuna,male,68
2019,Barajas,Aeropuerto,male,7
2019,Barajas,Casco Histórico de Barajas,male,37
2019,Barajas,Timón,male,72
2019,Barajas,Corralejos,male,39
2019,Centro,Centro,female,452
2019,Centro,Palacio,female,64
2019,Centro,Embajadores,female,165
2019,Centro,Cortes,female,32
2019,Centro,Justicia,female,64
2019,Centro,Universidad,female,103
2019,Centro,Sol,female,24
2019,Arganzuela,Arganzuela,female,621
2019,Arganzuela,Imperial,female,91
2019,Arganzuela,Acacias,female,120
2019,Arganzuela,Chopera,female,80
2019,Arganzuela,Legazpi,female,110
2019,Arganzuela,Delicias,female,119
2019,Arganzuela,Palos de la Frontera,female,96
2019,Arganzuela,Atocha,female,5
2019,Retiro,Retiro,female,434
2019,Retiro,Pacífico,female,102
2019,Retiro,Adelfas,female,72
2019,Retiro,Estrella,female,86
2019,Retiro,Ibiza,female,91
2019,Retiro,Los Jerónimos,female,23
2019,Retiro,Niño Jesús,female,60
2019,Salamanca,Salamanca,female,606
2019,Salamanca,Recoletos,female,63
2019,Salamanca,Goya,female,133
2019,Salamanca,Fuente del Berro,female,87
2019,Salamanca,Guindalera,female,151
2019,Salamanca,Lista,female,99
2019,Salamanca,Castellana,female,73
2019,Chamartín,Chamartín,female,669
2019,Chamartín,El Viso,female,88
2019,Chamartín,Prosperidad,female,151
2019,Chamartín,Ciudad Jardín,female,60
2019,Chamartín,Hispanoamérica,female,164
2019,Chamartín,Nueva España,female,138
2019,Chamartín,Castilla,female,68
2019,Tetuán,Tetuán,female,704
2019,Tetuán,Bellas Vistas,female,124
2019,Tetuán,Cuatro Caminos,female,154
2019,Tetuán,Castillejos,female,90
2019,Tetuán,Almenara,female,85
2019,Tetuán,Valdeacederas,female,129
2019,Tetuán,Berruguete,female,122
2019,Chamberí,Chamberí,female,557
2019,Chamberí,Gaztambide,female,92
2019,Chamberí,Arapiles,female,86
2019,Chamberí,Trafalgar,female,102
2019,Chamberí,Almagro,female,86
2019,Chamberí,Ríos Rosas,female,113
2019,Chamberí,Vallehermoso,female,78
2019,Fuencarral-ElPardo,Fuencarral-ElPardo,female,1215
2019,Fuencarral-ElPardo,El Pardo,female,17
2019,Fuencarral-ElPardo,Fuentelarreina,female,13
2019,Fuencarral-ElPardo,Peñagrande,female,146
2019,Fuencarral-ElPardo,Pilar,female,170
2019,Fuencarral-ElPardo,La Paz,female,128
2019,Fuencarral-ElPardo,Valverde,female,381
2019,Fuencarral-ElPardo,Mirasierra,female,223
2019,Fuencarral-ElPardo,El Goloso,female,137
2019,Moncloa-Aravaca,Moncloa-Aravaca,female,457
2019,Moncloa-Aravaca,Casa de Campo,female,41
2019,Moncloa-Aravaca,Argüelles,female,81
2019,Moncloa-Aravaca,Ciudad Universitaria,female,55
2019,Moncloa-Aravaca,Valdezarza,female,119
2019,Moncloa-Aravaca,Valdemarín,female,34
2019,Moncloa-Aravaca,El Plantío,female,7
2019,Moncloa-Aravaca,Aravaca,female,120
2019,Latina,Latina,female,827
2019,Latina,Los Cármenes,female,60
2019,Latina,Puerta del Ángel,female,138
2019,Latina,Lucero,female,119
2019,Latina,Aluche,female,208
2019,Latina,Campamento,female,89
2019,Latina,CuatroVientos,female,32
2019,Latina,Águilas,female,181
2019,Carabanchel,Carabanchel,female,1011
2019,Carabanchel,Comillas,female,84
2019,Carabanchel,Opañel,female,136
2019,Carabanchel,San Isidro,female,158
2019,Carabanchel,Vista Alegre,female,161
2019,Carabanchel,Puerta Bonita,female,178
2019,Carabanchel,Buenavista,female,178
2019,Carabanchel,Abrantes,female,116
2019,Usera,Usera,female,609
2019,Usera,Orcasitas,female,72
2019,Usera,Orcasur,female,88
2019,Usera,San Fermín,female,103
2019,Usera,Almendrales,female,106
2019,Usera,Moscardó,female,106
2019,Usera,Zofío,female,55
2019,Usera,Pradolongo,female,79
2019,Puente de Vallecas,Puente de Vallecas,female,951
2019,Puente de Vallecas,Entrevías,female,128
2019,Puente de Vallecas,San Diego,female,212
2019,Puente de Vallecas,Palomeras Bajas,female,125
2019,Puente de Vallecas,Palomeras Sureste,female,160
2019,Puente de Vallecas,Portazgo,female,123
2019,Puente de Vallecas,Numancia,female,203
2019,Moratalaz,Moratalaz,female,299
2019,Moratalaz,Pavones,female,31
2019,Moratalaz,Horcajo,female,17
2019,Moratalaz,Marroquina,female,63
2019,Moratalaz,Media Legua,female,67
2019,Moratalaz,Fontarrón,female,64
2019,Moratalaz,Vinateros,female,57
2019,Ciudad Lineal,Ciudad Lineal,female,776
2019,Ciudad Lineal,Ventas,female,174
2019,Ciudad Lineal,Pueblo Nuevo,female,227
2019,Ciudad Lineal,Quintana,female,86
2019,Ciudad Lineal,Concepción,female,78
2019,Ciudad Lineal,San Pascual,female,61
2019,Ciudad Lineal,San Juan Bautista,female,39
2019,Ciudad Lineal,Colina,female,24
2019,Ciudad Lineal,Atalaya,female,8
2019,Ciudad Lineal,Costillares,female,79
2019,Hortaleza,Hortaleza,female,836
2019,Hortaleza,Palomas,female,20
2019,Hortaleza,Piovera,female,37
2019,Hortaleza,Canillas,female,105
2019,Hortaleza,Pinar del Rey,female,159
2019,Hortaleza,Apóstol Santiago,female,38
2019,Hortaleza,Valdefuentes,female,477
2019,Villaverde,Villaverde,female,648
2019,Villaverde,Villaverde Alto,female,209
2019,Villaverde,San Cristóbal,female,92
2019,Villaverde,Butarque,female,90
