name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Cottage in Illes Balears,Kico,No info,Mahon,Entire cottage,Entire home/apt,6,3,3,450
Cottage in Illes Balears,Francisco,No info,Mahon,Entire cottage,Entire home/apt,8,3,5,275
Condo in Illes Balears,Emma,No info,Es Mercadal,Entire condo,Entire home/apt,6,2,4,64
Villa in Sant Jaume,3Villas,No info,Alaior,Entire villa,Entire home/apt,10,5,8,1080
Condo in Cala en Porter,Damià,No info,Alaior,Entire condo,Entire home/apt,4,1,2,50
Chalet in Son Carrio,Sergio,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,2,5,400
Villa in Binibequer,3Villas,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,4,1200
Condo in Los Delfines,Joaquin,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,3,1,2,33
Villa in Camp de Mar,Marta,No info,Sant Lluis,Entire villa,Entire home/apt,12,4,10,1100
Rental unit in Ciutadella de Menorca,Federico,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,5,1,1,100
Rental unit in Cala Galdana,Sonne Villas,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,6,2,4,110
Hotel in Cales Piques,Sea Club,No info,Ciutadella de Menorca,Room in Hotel,Private room,2,1,3,616
Townhouse in Es Mercadal,Nuria Y Guillermo,No info,Es Mercadal,Entire townhouse,Entire home/apt,5,2,5,130
Rental unit in Ciutadella de Menorca,Holidu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,120
Condo in Cala en Porter,Chelo,No info,Alaior,Entire condo,Entire home/apt,3,1,3,96
Cottage in Illes Balears,Joan,No info,Ciutadella de Menorca,Private room in cottage,Private room,2,1,2,70
Hotel in Cales Piques,Sea Club,No info,Ciutadella de Menorca,Room in Hotel,Private room,3,1,3,832
Chalet in Son Parc,Katrina Y Julia,No info,Es Mercadal,Entire chalet,Entire home/apt,6,2,5,130
Chalet in Ciutadella de Menorca,Antoni Lluis,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,8,2,6,1307
Chalet in Ciutadella de Menorca,Biel,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,10,4,8,775
Boutique Hotel in Ciutadella de Menorca,Pierangela,No info,Ciutadella de Menorca,Room in boutique Hotel,Private room,4,1,1,67
Boutique Hotel in Ciutadella de Menorca,Pierangela,No info,Ciutadella de Menorca,Room in boutique Hotel,Private room,2,1,1,54
Rental unit in Ciutadella de Menorca,Sebastian,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,89
Rental unit in Ciutadella de Menorca,Sebastian,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,6,2,5,110
Rental unit in Platges de Fornells,Francesc,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,250
Hotel in Cales Piques,Sea Club,No info,Ciutadella de Menorca,Room in Hotel,Private room,2,1,3,759
Hotel in Cales Piques,Sea Club,No info,Ciutadella de Menorca,Room in Hotel,Private room,3,1,3,1025
Rental unit in Arenal d'en Castell,Marta,No info,Es Mercadal,Entire rental unit,Entire home/apt,5,1,4,100
Home in Punta Prima,Chini,No info,Sant Lluis,Entire home,Entire home/apt,4,2,4,200
Home in Cala Morell,Annette,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,4,150
Townhouse in Cala Morell,Fel,No info,Ciutadella de Menorca,Entire townhouse,Entire home/apt,4,1,3,195
Villa in Cap d'en Font,Irene,No info,Sant Lluis,Entire villa,Entire home/apt,10,4,8,150
Bungalow in Arenal d'en Castell,Hannah,No info,Es Mercadal,Entire bungalow,Entire home/apt,6,1,4,104
Condo in Binisafua,Lucas,No info,Sant Lluis,Entire condo,Entire home/apt,3,1,4,45
Rental unit in Cala en Porter,Ledi Shirley,No info,Alaior,Entire rental unit,Entire home/apt,4,1,4,130
Villa in Ciudadela de Menorca,Juan Jesus,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,3,136
Condo in Son Bou,Rosa Maria,No info,Alaior,Entire condo,Entire home/apt,3,1,3,80
Home in Cap d'Artrutx,Barbara,No info,Ciutadella de Menorca,Entire home,Entire home/apt,5,1,3,160
Home in Ciutadella de Menorca,Juan,No info,Ciutadella de Menorca,Entire home,Entire home/apt,11,3,10,550
Chalet in Illes Balears,Paola,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,10,2,9,180
Home in Binibequer,Ulrike,No info,Sant Lluis,Entire home,Entire home/apt,4,2,6,150
Home in Ciutadella de Menorca,Gerard,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,2,114
Home in San Luis,Menorca Habitat,No info,Sant Lluis,Entire home,Entire home/apt,6,2,4,89
Rental unit in Fornells,Francisca,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,2,3,129
Home in Ciutadella de Menorca,Melody,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,2,4,58
Home in Es Mercadal,Robert,No info,Es Mercadal,Entire home,Entire home/apt,10,4,8,163
Villa in Cala Galdana,Sonne Villas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,6,2,5,110
Condo in Son Xoriguer,Richard,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,5,123
Condo in Cap d'Artrutx,Toni,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,4,1,3,180
Home in Ciutadella de Menorca,Marian,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,4,175
