PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS;N_CATALOGO
Parcial;Parcial;---;---;---;---;---;11006280;440036.48;4475437.33;390
Ambiental;Ambiental;---;---;---;---;---;11006282;440034.29;4475418.19;391
Parcial;Parcial;---;---;---;---;---;11006283;440029.34;4475405.28;392
Parcial;Parcial;---;---;---;---;---;11006284;440027.45;4475401.06;393
Integral;Integral;---;---;---;---;---;11006287;439999.12;4475360.11;395
Estructural;Estructural;---;---;---;---;---;11006288;439991.86;4475361.25;396
Parcial;Parcial;---;---;---;---;---;11006290;439974.73;4475363.59;398
Parcial;Parcial;---;---;---;---;---;11006292;439976.72;4475384.24;399
Parcial;Parcial;---;---;---;---;---;11006294;439983.57;4475408.09;401
Parcial;Parcial;---;---;---;---;---;11006297;440067.15;4475431.18;403
Ambiental;Ambiental;---;---;---;---;---;11006298;440065.21;4475415.96;404
Estructural;Estructural;---;---;---;---;---;11006299;440063.26;4475408.96;405
Integral;Integral;---;---;---;---;---;11006300;440059.62;4475398.75;406
Integral;Integral;---;---;---;---;---;11006301;440054.35;4475383.97;407
Integral;Integral;---;---;---;---;---;11006302;440050.43;4475372.9;408
Estructural;Estructural;---;---;---;---;---;11006303;440031.83;4475355.41;409
Parcial;Parcial;---;---;---;---;---;11006326;439932.1;4475359.58;410
Estructural;Estructural;---;---;---;---;---;11006328;439947.24;4475357.47;411
Parcial;Parcial;---;---;---;---;---;11006329;439956.7;4475356.16;412
Parcial;Parcial;---;---;---;---;---;11006333;439997.78;4475333.09;414
Parcial;Parcial;---;---;---;---;---;11006335;439990.58;4475317.24;415
Estructural;Estructural;---;---;---;---;---;11006336;439978.63;4475301.46;416
Parcial;Parcial;---;---;---;---;---;11006338;439967.23;4475302.89;417
Parcial;Parcial;---;---;---;---;---;11006339;439956.75;4475304.22;418
Integral;Integral;---;---;---;---;---;11006340;439947.38;4475305.33;419
Parcial;Parcial;---;---;---;---;---;11006341;439939.69;4475306.31;420
Parcial;Parcial;---;---;---;---;---;11006342;439932.23;4475307.35;421
Parcial;Parcial;---;---;---;---;---;11006343;439925.7;4475308.28;422
Estructural;Estructural;---;---;---;---;---;11006344;439918.69;4475320.06;423
Parcial;Parcial;---;---;---;---;---;11006346;439922.97;4475344.1;425
Parcial;Parcial;---;---;---;---;---;11006347;439923.51;4475350.58;426
Estructural;Estructural;Residencia;---;---;---;---;11006330;439974.8;4475354.35;427
Parcial;Parcial;Palacio;---;---;---;---;11006722;440034.03;4475331.56;428
Estructural;Estructural;---;---;---;---;---;11006680;440001.58;4475317.56;429
Estructural;Estructural;---;---;---;---;---;11006720;440019.55;4475300.17;430
Parcial;Parcial;---;---;---;---;---;11006724;439995.28;4475299.15;431
Integral;Integral;Palc. Marq. Puñoenrostro;---;---;---;---;11006730;439928.61;4475297.84;432
Parcial;Parcial;---;---;---;---;---;11006729;439939.67;4475296.21;433
Parcial;Parcial;---;---;---;---;---;11006728;439947.13;4475295.36;434
Parcial;Parcial;Ed viv Epifaneo Gonzalez;---;---;---;---;11006727;439958.94;4475293.77;435
Parcial;Parcial;---;---;---;---;---;11006726;439969.19;4475292.34;436
Parcial;Parcial;---;---;---;---;---;11006685;439969.62;4475270.35;437
Parcial;Parcial;---;---;---;---;---;11006684;439965.9;4475261.61;438
Parcial;Parcial;---;---;---;---;---;11006683;439963.34;4475255.6;439
Parcial;Parcial;---;---;---;---;---;11006688;439952.29;4475243.48;440
Ambiental;Ambiental;---;---;---;---;---;11006689;439944.28;4475244.38;441
Estructural;Estructural;---;---;---;---;---;11006719;440001.41;4475261.13;444
Estructural;Estructural;---;---;---;---;---;11006687;439979.25;4475240.65;445
Parcial;Parcial;---;---;---;---;---;11006044;440199.78;4475225.59;446
Parcial;Parcial;---;---;---;---;---;11006045;440214.51;4475223.3;447
